NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=2624.153s, table=0, n_packets=0, n_bytes=0, idle_age=2624, priority=2,tcp,dl_src=00:00:00:00:03:02,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=5059,tp_dst=80 actions=mod_dl_dst:00:00:00:00:01:02,output:2
 cookie=0x0, duration=2624.151s, table=0, n_packets=0, n_bytes=0, idle_age=2624, priority=2,tcp,dl_src=00:00:00:00:01:02,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=80,tp_dst=5059 actions=mod_dl_dst:00:00:00:00:03:02,output:6
 cookie=0x0, duration=2624.149s, table=0, n_packets=0, n_bytes=0, idle_age=2624, priority=2,tcp,dl_src=00:00:00:00:03:01,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=80,tp_dst=5059 actions=mod_dl_dst:00:00:00:00:01:01,output:1
 cookie=0x0, duration=2623.155s, table=0, n_packets=0, n_bytes=0, idle_age=2623, priority=2,tcp,dl_src=00:00:00:00:01:01,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=5060,tp_dst=80 actions=mod_dl_dst:00:00:00:00:02:01,output:3
 cookie=0x0, duration=2623.152s, table=0, n_packets=0, n_bytes=0, idle_age=2623, priority=2,tcp,dl_src=00:00:00:00:02:02,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=5060,tp_dst=80 actions=mod_dl_dst:00:00:00:00:01:02,output:2
 cookie=0x0, duration=2623.150s, table=0, n_packets=0, n_bytes=0, idle_age=2623, priority=2,tcp,dl_src=00:00:00:00:01:02,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=80,tp_dst=5060 actions=mod_dl_dst:00:00:00:00:02:02,output:4
 cookie=0x0, duration=2623.148s, table=0, n_packets=0, n_bytes=0, idle_age=2623, priority=2,tcp,dl_src=00:00:00:00:02:01,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=80,tp_dst=5060 actions=mod_dl_dst:00:00:00:00:01:01,output:1
 cookie=0x0, duration=2622.155s, table=0, n_packets=0, n_bytes=0, idle_age=2622, priority=2,tcp,dl_src=00:00:00:00:01:01,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=5061,tp_dst=80 actions=mod_dl_dst:00:00:00:00:03:01,output:5
 cookie=0x0, duration=2622.153s, table=0, n_packets=0, n_bytes=0, idle_age=2622, priority=2,tcp,dl_src=00:00:00:00:03:02,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=5061,tp_dst=80 actions=mod_dl_dst:00:00:00:00:01:02,output:2
 cookie=0x0, duration=2622.151s, table=0, n_packets=0, n_bytes=0, idle_age=2622, priority=2,tcp,dl_src=00:00:00:00:01:02,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=80,tp_dst=5061 actions=mod_dl_dst:00:00:00:00:03:02,output:6
